"","Date","Geography","Keyword","Relative Search Intensity"
"1","January 2011","US-IL","pizza",430
"2","February 2011","US-IL","pizza",459
"3","March 2011","US-IL","pizza",401.785714285714
"4","April 2011","US-IL","pizza",421.333333333333
"5","May 2011","US-IL","pizza",433.928571428571
"6","June 2011","US-IL","pizza",444
"7","July 2011","US-IL","pizza",510.285714285714
"8","August 2011","US-IL","pizza",464
"9","September 2011","US-IL","pizza",480.6
"10","October 2011","US-IL","pizza",484.533333333333
"11","November 2011","US-IL","pizza",487.058823529412
"12","December 2011","US-IL","pizza",523.529411764706
"13","January 2012","US-IL","pizza",497.352941176471
"14","February 2012","US-IL","pizza",488.75
"15","March 2012","US-IL","pizza",481
"16","April 2012","US-IL","pizza",523.714285714286
"17","May 2012","US-IL","pizza",465.142857142857
"18","June 2012","US-IL","pizza",494
"19","July 2012","US-IL","pizza",530.266666666667
"20","August 2012","US-IL","pizza",492.470588235294
"21","September 2012","US-IL","pizza",477.25
"22","October 2012","US-IL","pizza",431.866666666667
"23","November 2012","US-IL","pizza",453.733333333333
"24","December 2012","US-IL","pizza",481.764705882353
"25","January 2013","US-IL","pizza",465.411764705882
"26","February 2013","US-IL","pizza",478.5
"27","March 2013","US-IL","pizza",446.25
"28","April 2013","US-IL","pizza",412.285714285714
"29","May 2013","US-IL","pizza",417.857142857143
"30","June 2013","US-IL","pizza",507
"31","July 2013","US-IL","pizza",473.0625
"32","August 2013","US-IL","pizza",492.352941176471
"33","September 2013","US-IL","pizza",449.176470588235
"34","October 2013","US-IL","pizza",435.75
"35","November 2013","US-IL","pizza",490
"36","December 2013","US-IL","pizza",475.941176470588
"37","January 2014","US-IL","pizza",473.684210526316
"38","February 2014","US-IL","pizza",459.555555555556
"39","March 2014","US-IL","pizza",483.4375
"40","January 2011","US-IL","ice cream",43
"41","February 2011","US-IL","ice cream",43.2
"42","March 2011","US-IL","ice cream",42.8571428571429
"43","April 2011","US-IL","ice cream",85.3333333333333
"44","May 2011","US-IL","ice cream",58.9285714285714
"45","June 2011","US-IL","ice cream",68.7142857142857
"46","July 2011","US-IL","ice cream",81.4285714285714
"47","August 2011","US-IL","ice cream",64
"48","September 2011","US-IL","ice cream",48.6
"49","October 2011","US-IL","ice cream",47.4
"50","November 2011","US-IL","ice cream",47.6470588235294
"51","December 2011","US-IL","ice cream",52.3529411764706
"52","January 2012","US-IL","ice cream",47.1176470588235
"53","February 2012","US-IL","ice cream",47.8125
"54","March 2012","US-IL","ice cream",63.4285714285714
"55","April 2012","US-IL","ice cream",66.8571428571428
"56","May 2012","US-IL","ice cream",79.2857142857143
"57","June 2012","US-IL","ice cream",93.6
"58","July 2012","US-IL","ice cream",109.333333333333
"59","August 2012","US-IL","ice cream",75.7647058823529
"60","September 2012","US-IL","ice cream",51.875
"61","October 2012","US-IL","ice cream",36.8666666666667
